Day,Month,Year,Time,Location,Route,Aboard,Passengers Aboard,Crew Aboard,Fatalities,Passenger Fatalities,Crew Fatalities,Ground,Flight #,AC Type,Registration,cn / ln,Summary
27,December,1936,1938,"Newhall, California",Oakland - San Francisco - Los Angeles,12,10,2,12,10,2,0,34,Boeing 247D,NC13355,1737,"While on approach to Burbank Airport, the airliner crashed into Rice Canyon, just south of Newhall.  It was raining with poor visibility. The aircraft flew into a hill loosing its wings, continued without wings across Rice Canyon and struck against a rocky wall of a bluff and dropped over a hundred feet to the bottom of the canyon.  Error on the part of the pilot in attempting to fly through the Newhall pass at an altitude lower than the surrounding mountains without first determining by radio, the existing weather."
12,January,1937,1107,"Near Newhall, California",Salt Lake City - Burbank,13,11,2,5,4,1,0,7,Boeing 247D,NC13315,1696,"The aircraft crashed into Pinetos Peak, 4 miles southeast of Newhall while attempting to land at Burbank Airport in fog and rain. The pilot descended to a dangerously low altitude without positive knowledge of his position. African explorer, Martin Johnson, 52, killed. Johnson suffered a fractured skull in the crash and died the next day in a hospital."
09,February,1937,2050,"Off San Francisco, California",Los Angeles - San Francisco - Oakland,11,9,2,11,9,2,0,23,Douglas DC-3A,NC16073,1913,"The aircraft crashed into San Francisco Bay, approximately 2 miles offshore, while on approach. The accidental jamming of the elevator controls as the result of the co-pilot's microphone being inadvertently dropped and lodged between the elevator control column and the seat rail in such a way that the crew was unable to prevent rapid descent of the airplane. First accident involving a DC-3."
25,March,1937,1840,"Clifton, Pennsylvania",Newark - Camden - Pittsburg,13,10,3,13,10,3,0,15A,Douglas DC-2-112,NC13730,1256,While attempting to land the aircraft banked left and crashed short of the runway. Heavy icing which rendered the plane uncontrollable.
06,May,1937,1925,"Lakehurst, New Jersey",Frankfurt - Lakehurst N.J.,97,36,61,35,13,22,1,LZ 129,Zeppelin LZ-129,D-LZ-129,D-LZ129,"The airship Hindenburg caught fire and burned while being moored at Lakehurst, New Jersey.  Possible causes were static discharge which ignited leaking hydrogen or sabotage. It has been theorized that a sudden turn just before landing caused a steel cable to snap which punctured one of the hydrogen airbags. Thereafter, when mooring ropes were dropped to the ground, the cage was discharged setting up a static discharge between the Hindenburg's outer skin and frame causing the hydrogen to ignite."
10,August,1937,0440,"Daytona Beach, Florida",Chicago - Daytona,9,7,2,4,2,2,0,7,Douglas DC-2,NC-13739,1289,The plane struck a power pole while taking off from Daytona and crashed to the ground 600 feet from the first point of impact. The absence of reasonable notice to those operating and navigating the aircraft that an object had been erected which constituted a hazard to the aircraft taking off.
17,October,1937,2100,"Haydens Peak, Wyoming",Newark - Chicago - Cheyenne - Salt Lake City - Los Angeles,19,16,3,19,16,3,0,1,Douglas DC-3,NC16074,1914,"The plane crashed into the side of a mountain (Humpy Ridge)  in level flight at 10,000 ft. under adverse weather conditions. Static conditions encountered in the last portion of the flight which rendered the reception of radio range signals unintelligible. The continuation of the flight into mountainous country at an altitude below of higher mountains without the aid of ground visibility or radio signals to definitely identify position. A change in the weather caused by the approach of an unpredicted cold front."
10,January,1938,1507,"Bozeman, Montana",Seattle - Spokane - Butte - Billings - Chicago,10,8,2,10,8,2,0,2,Lockheed 14H Super Electra,NC-17388,1407,"The aircraft crashed 12 miles northeast of Bozeman after experiencing structural failure of the tail. There was severe turbulence reported in the area at the time of the accident. The structural failure of the upper vertical fins and rudders due to flutter ""natural resonance, or period of vibration"" which resulted in the separation of the rudder and fins and loss of control of the aircraft."
11,January,1938,0803,"Pago Pago, U.S. Samoa",Oakland - Honolulu - Kingman Reef - Pago Pago - Auckland,7,0,7,7,0,7,0,1,Sikorsky S-42 (flying boat),NC16734,4207,"The aircraft exploded in mid-air as the crew attempted to dump fuel for an emergency landing at Pago Pago. Neither the plane or seven crew members were ever found. The aircraft was named ""Samoan Clipper.""  Pan American's first and chief pilot, Captain Edwin C. Musick, killed."
01,March,1938,21:30,"Near Wawona, Cailifornia","San Francisco - Winslow, AZ,  Burbank, CA",9,6,3,9,6,3,0,8,Douglas DC-2-112,NC13789,1299,Crashed into the high Sierra after encountering a severe weather front while en route. The pilot radioed that ice was forming on the DC-2's wings as it neared the Tehachapi Mountains near Bakersfield and that he was turning back towards the north to land at Fresno. The aircraft sheared off the tops of pine trees and crashed 200 feet below a summit. The wreckage was not found until 6/12/38.
24,May,1938,2217,"Cleveland, Ohio",Newark - Cleveland - Chicago,10,7,3,10,7,3,0,9,Douglas DST-A-207A,NC18108,1956,An uncontrollable fire developed in the right engine and the pilot decided to make an emergency landing rather than try to reach Cleveland Airport. The plane struck trees in level flight 8.5 miles east of Cleveland Airport. A fire in the right engine accessory section which resulted from the failure of a cylinder barrel and was fed from the right engine oil supply.
08,July,1938,0256,"Billings, Montana",Seattle - Spokane - Helena - Billings - Fargo,10,8,2,1,1,0,0,4,Lockheed 14 Super Electra,NC17383,1402,"While taking off from Billings, the airplane left the ground in a stalled condition from which the pilot attempted to recover by use of full emergency power. Emergency power was not available because of improper adjustment of the stop which had been placed on the quadrant of the propeller pitch control levers, preventing the levers from going to the full low pitch position. As a result of the stalled condition, the airplane fell off on the right wing and crashed at a point 1,100 feet beyond the NE runway, the pilot having cut the switch just prior to the impact."
29,July,1938,0411,Pacific Ocean between Manila and Guam,Alameda - Manila,15,6,9,15,6,9,0,229,Martin M-130 (flying boat),NC14714,556,"The plane crashed into the ocean while en route between Guam and Manilla. The last known position was 12.27 N, 130.40 W or 582 nm east southeast of Manila at 04:00 GCT. Cause unknown. The plane may have been hijacked by the Japanese and flown to Truk Island where the crew and passengers were murdered. The aircraft was named ""Hawaii Clipper."""
29,November,1938,0530,"Off Point Reyes, California","Seattle, WA - Medford, OR - Oakland,CA",7,4,3,5,3,2,0,6,Douglas DC 3-A-SB-3-G-14,NC16066,1907,"The aircraft ran out of fuel and ditched into the ocean a little less than a mile offshore. Failure of the pilot to definitely establish the position of the aircraft through standard orientation procedures within a reasonable time after intersecting a leg of the Oakland radio range and of Company flight dispatchers, charged with the responsibilities of directing the operation of the trip, to properly safeguard the flight, resulting in forced landing of the aircraft at sea due to exhausted fuel supply."
13,January,1939,2115,"Miles City, Montana",Chicago - Seattle,4,2,2,4,2,2,0,1,Lockheed 14-H Super Electra,NC17389,1408,"The aircraft crashed 2,650 feet past the runway boundry after taking off. A fire of considerable intensity developed, prior to the crash, in the cockpit of the aircraft, in the immediate vicinity of the gasoline cross-feed valve. It  was not possible to determine the exact origin and source of the fire."
26,March,1939,1448,"Oklahoma City, Oklahoma",Chicago - Kansas City - Wichita - Oklahoma City - Dallas,12,9,3,8,7,1,0,1,Douglas DC-2-112,NC13727,1253,"An explosion in an engine, just after takeoff blew the two halves of the cowl open creating excessive drag and causing the left wing to drop. The captain tried to circle back, but the wing impacted an embankment along a section line road and crashed about 100 yards inside the boundary. Either the hot metal of the engines or some other source ignited the fuel spilling out of the ruptured tank and the cabin was quickly engulfed in flames. The initial cause of the explosion was a cylinder blow out which was a problem with that particular engine and had caused problems in two other aircraft, a TWA and United DC-2, both of which landed safely."
31,August,1940,1441,"Near Lovettsville, Virginia",Washington D.C. - Detroit,25,21,4,25,21,4,0,19,Douglas DC-3,NC21789,2188,"The aircraft was flying through a thunderstorm in turbulence when the it nosed over and plunged to earth near Short Hill Mountain.  Disabling of the pilots by a severe lightning discharge in the immediate neighborhood of the airplane, with resulting loss of control. With limited accident investigation tools at the time, the most likely cause was the plane flying into windshear.  U.S. Senator Ernest Lundeen from Minnesota killed."
04,November,1940,0442,"Near Centerville, Utah",Oakland - Salt Lake City,10,8,2,10,8,2,0,16,Douglas DC-3,NC16086,1925,"The aircraft crashed into Bountiful Peak in the Wasatch Mountains, during a snowstorm, 3 nm NE of Centerville. The failure of the communications operators at Tintic, Plymouth, and Salt Lake City, Utah, whose duty it was to monitor the range, to detect its malfunctioning and immediately notify those concerned and the failure of the pilot to follow to the fullest extent established radio range technique in accordance with the requirements of the procedure established by United and approved by the Civil Aeronautics Administration."
04,December,1940,1748,"Chicago, Illinois",New York City - Chicago,16,13,3,10,7,3,0,21,Douglas DC-3A,NC25678,2175,The aircraft crashed while attempting to land at Chicago. The failure of the pilot to exercise that degree of caution and skill required to avert a stall while approaching for a landing on the short northwest runway. A substantial contributing factor to the accident was the error in judgment of the pilot in choosing that short runway for his landing. An accumulation of ice on the wings may have increased the stalling speed of the plane.
23,January,1941,0413,"Near Robertson, Missouri","Kansas City, MO - New York",13,10,3,2,1,1,0,6,Douglas DC-3-3,NC17315,1930,"Shortly after passing over the west boundary of the airport, the pilot started a left turn. While in the turn, the plane contracted trees 113 feet above the level of the airport.  Full power was applied to the engines in an attempt to pull up but other trees were struck and the pilot lost control. The aircraft crashed to the ground at a point approximately one-fourth of a mile southwest of the airport boundary. The action of the pilot in attempting a landing under adverse weather conditions in disregard of the minimums prescribed by the Civil Aeronautics Administration and in maneuvering for such a landing at a dangerously low altitude."
06,February,1941,0200,"Armstrong, ON, Canada",Toronto - Winnipeg,12,9,3,12,9,3,0,3,Lockheed 14-H2 Super Electra,CF-TCP,1501,The plane crashed after the right wing struck a tree as the pilot was attempting to land in adverse weather. Struck several other trees and landed inverted in a swamp.
26,February,1941,1150,"Atlanta, Georgia",New York City -  Washington D.C. - Atlanta - Brownsville,16,13,3,9,6,3,0,21,Douglas DC-3,NC28394,3204,"The aircraft crashed into a hill in pine woods, near Chandler Field, while attempting to make an instrument landing approach in rain and fog. The failure of the captain in charge of the flight to exercise the proper degree of fare by not checking his altimeters to determine whether both were correctly set and properly functioning before commencing his landing approach. A substantial contributing factor was the absence of an established uniform cockpit procedure on Eastern Air Lines by which both the captain and co-pilot are required to make a complete check of the controls and instruments during landing operations. Captain Edward Rickenbacker, President of Eastern Air Lines, survived the crash."
03,October,1941,1748,"San Juan, Puerto Rico",Miami - Buenos Aires,15,9,6,2,2,0,0,203,Sikorsky S-42B (flying boat),NC15376,4206,"Following the approach, the aircraft contacted the water in an unduly nose-low attitude while moving sideways relative to the water.  Almost immediately after first contact with the water, the aircraft swerved violently to the right and broke into several major sections. The failure of the captain to exercise requisite caution and skill in landing. A contributing factor was the smooth surface of the water, which rendered difficult, the captain's depth perception as well as the exact determination of any lateral movement of the aircraft."
30,October,1941,0204,"Near Moorhead, Minnesota",Minneapolis - Fargo,15,13,2,14,13,1,0,5,Douglas DC-3,NC21712,2124,"Crashed in fog and mist due to icing on the wings. The pilot, Clarence Bates, was thrown clear of the wreckage and was the lone survivor. Accumulation of ice on the wings and other surfaces of the airplane, increasing the stalling speed and the drag of the airplane on the power required to maintain flight. Action of the captain in descending to attempt a landing at Fargo with known icing conditions and critical ceiling conditions instead of proceeding to an available alternate."
30,October,1941,2210,"St. Thomas, Ontario, Canada",New York - Newark - Buffalo - Detroit,20,17,3,20,17,3,0,1,Douglas DC-3,NC25663,2207,"While descending to Detroit, the crew was advised by ATC to abandon the approach due to poor weather conditions. The crew began to descend, circling to the right and apparently banked normally for the radius and speed of the turns. After completing four circles, the plane recovered from the spiral in close proximity to the ground, went up to an altitude of about 200 to 500 feet and then pitched down and crashed in an open field. There was no fire in the plane prior to impact. No evidence of sabotage was discovered. There was no power plant failure prior to the accident, and the engines were functioning normally at the time the plane struck the ground. Nothing was found to indicate that there had been any structural failure or failure of the control system of the plane. As a result of the complete destruction of some portions of the plane, it was impossible to eliminate the possibility that such failure occurred. The probable cause of the accident was listed by the CAB as undetermined."
01,May,1942,2300,"Salt Lake City, Utah",San Francisco - New York City,17,14,3,17,14,3,0,4,Douglas DST-A-207A,NC18146,1978,"After taking off from Salt Lake, the aircraft proceeded in the wrong direction and crashed into the side of a hill 3.8 miles northeast of the Salt Lake City Airport. The point of impact was at an elevation of 5,053 feet above sea level and about 830 feet above the airport. A deviation from the proper course, for reasons undetermined."
12,May,1942,1151,"Miles City, Montana",Chicago - Seattle,14,10,4,3,0,3,0,1,Douglas DC-3-A-269,NC 21714,2129,"The plane hit an obstruction at the end of the runway, overran the runway boundry and crashed. The failure of the captain to complete the landing run in time to avoid the obstruction at the end of the runway, for reasons undetermined, and his action in attempting to take off after striking the obstruction."
03,October,1942,1905,"Botwood, Newfoundland","New York - Botwood - Foynes, Ireland",37,26,11,11,6,5,0,71,Sirkorsky 44A (flying boat),NC41880,4401,"While attempting to takeoff, aircraft porpoised, attained a height of 35 ft. and then crashed into the water and broke up. Inadvertent actuation of the wing flaps to the full 35 degrees position during the take-off run, thereby rendering the aircraft excessively nose-heavy and uncontrollable."
23,October,1942,17:15,"Palm Springs, California",Palm Springs - New York City,13,10,3,12,10,2,0,28,Douglas DC-3 / Lockheed B-34,NC16017,1555,"Midair collision between an Army bomber and airliner over Chino Canyon near Palm Springs at 9,000 feet destroying the rudder of the DC-3.  All 12 aboard the DC-3 were killed. The Lockheed B-34 landed safely with minor damage. The reckless and irresponsible conduct of the bomber pilot, William Wilson, in deliberately maneuvering a bomber in dangerous proximity to an airliner in an unjustifiable attempt to attract the attention of the first officer, his friend aboard the airliner. Composer and song writer Ralph Rainger, 41, killed."
15,December,1942,0122,"Fairfield, Utah",Salt Lake - Las Vegas - Burbank,19,15,4,17,13,4,0,1,Douglas DC-3A,NC16060,1900,"Crashed after performing a violent maneuver.  Failure of the left, or possibly both wing tips and of the horizontal  tail  surfaces as a result of a sever pull-up which caused unusual and  abnormally high air loads. The reason the pull-up maneuver was not determined."
21,January,1943,0730,"Ukiah, California",Honolulu - San Francisco,19,10,9,19,10,9,0,V-1104,Martin M-130 (flying boat),NC14715,557,"Flew into a 2,500 ft. mountain while circling in bad weather, after being unable to land in darkness and deciding whether to divert to San Diego. Clipped trees, struck the ground and broke up.  Failure of the captain to determine his position accurately before descending to a dangerously low altitude under extremely poor weather conditions during the hours of darkness. The aircraft was named Philippine Clipper."
22,January,1943,1515,"Near Chaparra, Peru",S Santiago de Chile - Arequipa - Lima,15,11,4,14,10,4,0,9,Douglas DC-3A,NC33645,4124,"The aircraft crashed into the Mt. Chaparra in the Andes mountains while en route.  Action of the pilot in continuing the flight on instruments in the overcast, contrary to company flight procedure of which, according to the evidence, the pilot was aware."
22,February,1943,0647,"Lisbon, Portugal",New York - Hamilton - Horta - Lisbon - Marseille,39,33,6,25,20,5,0,9035,Boeing B-314 (flying boat),NC18603,1990,"Crashed into the Tagus River in poor weather while attempting to land. Inadvertent contact of the left wing tip of the aircraft with the water while making a descending turn preparatory to landing. The aircraft was named the Yankee Clipper.  Novelist Ben Robertson and singer, actress Tamara Drasin, 34, among those killed. Actress Jane Froman seriously injured. She later divorced her husband and married the co-pilot,
who had saved her life despite his own serious injury, but they too divorced."
01,June,1943,1100,Off the coast of France,Lisbon - Bristol,17,13,4,17,13,4,0,777,Douglas DC-3,G-AGBB,1590,"Shot down by the German Air Force over the Bay of Biscay. The last message received from the plane was it was being attacked by an enemy aircraft. The aircraft had a Dutch crew. British actor Leslie Howard, 42, killed. It has been speculated that the plane was attacked because the Germans believed that British Prime Minister Winston Churchill was aboard. Other theories suggest the plane was targeted because several passengers, including Howard, were British spies."
28,July,1943,2243,"Trammel, Kentucky",Cleveland - Memphis,22,18,4,20,16,4,0,63,Douglas DC-3,NC16014,1552,"The aircraft crashed into trees while attempting to land in strong turbulence and violent downdrafts. There was evidence that most of the occupants in the cabin were victims of suffocation or fire, or both, because of their inability to effect an exit from the aircraft. Loss of control of the aircraft due to unusually severe turbulence and violent downdraft caused by a thunderstorm of unknown and unpredictable intensity."
15,October,1943,2317,"Near Centerville, Tennessee",Nashville - Memphis,15,11,4,15,11,4,0,63,Douglas DC3-G102,NC16088,1588,"The aircraft struck the ground nose-first in a vertical attitude while en route and was completely demolished by the impact. Inability of the aircraft to gain or maintain altitude due to carburetor ice, propeller ice or wing ice or some combination of these icing conditions, while over terrain and in weather unsuitable for an emergency landing. Weather conditions which, had their nature been anticipated, should have precluded the dispatch of the flight in an aircraft not equipped with wing or propeller deicing equipment."
10,February,1944,2336,"Memphis, Tennessee",Little Rock - Memphis,24,21,3,24,21,3,0,2,Douglas DC-3,NC21767,2166,"The aircraft crashed into a river and sank ,18 miles southwest of Memphis, in a snowstorm, while en route from Little Rock. Cause undetermined."
08,August,1944,1320,"Off Antilla, Cuba",San Juan - Antilla - Miami,31,26,5,17,17,0,0,218,Sikorsky S-42 (flying boat),NC823M,4201,"Crashed during the third attempt to lift from the water and sank into the ocean. Loss of control due to the captain's inexperience in handling the particular type of aircraft. The aircraft was named ""Hong Kong Clipper."""
04,November,1944,1715,"Hanford, California",San Francisco - New York City,24,21,3,24,21,3,0,8,Douglas DC-3,NC28310,2251,"The wing separated from the aircraft after entering a thunderstorm and encountering severe turbulence. The failure of the airplane's structure as a result of severe turbulence, an important contributing cause was the fact that the airplane was undoubtedly in an abnormal attitude of flight,  i.e., inverted, at the instant of structural failure. The cause of the airplane becoming inverted was not determined."
01,December,1944,0054,"Van Nuys, California",San Francisco - Burbank - New York City,17,14,3,9,6,3,0,13,Douglas DC-3,NC17322,1965,The plane crashed and burned 6.5 miles west northwest of the Bubank Airport in dense fog. The pilot's deviation from the standard instrument approach procedure and descent below the established safe minimum altitude. A contributing factor was the company's failure to enforce adherence to company procedures.
10,January,1945, 0410,"Burbank, California","New York City - Juarez, Mexico - Burbank",24,21,3,24,21,3,0,6001,Douglas DC-3,NC25684,2215,"The aircraft, lost in fog, crashed into the Verdugo Mountains,  while attempting to reach Palmdale Airport, its alternate landing site, after being unable to land at Burbank Airport. The company ground personnel failed to obtain and transmit important weather to the pilot. Improperly executed missed approach by the pilot. Actress Donna Reed was returning from Juarez where she obtained a divorce from her husband but was bumped from the flight just prior to takeoff  to make room for a military officer holding a wartime-travel priority pass."
23,February,1945,0225,"Marion, Virginia",New York City - Los Angeles,22,19,3,17,15,2,0,9,Douglas DC-3,NC18142,2138,"The aircraft flew into the summit of Glade mountain at 3,900 ft., in heavy rain and turbulence  while en route. The pilot's failure to properly  plan the flight and remain at a safe instrument altitude under existing conditions. A contributing cause of the accident was the company's laxity in dispatching and supervising the flight."
14,April,1945,1658,"Morgantown, West Virginia",Pittsburgh - Morgantown,20,17,3,20,17,3,0,142,Douglas DC-3,NC25692,2262,"The aircraft crashed against the slope of Cheat Mountain at 2,100 ft., 7 miles east northeast of Morgantown. The action of the pilot in continuing flight over mountainous terrain under instrument conditions, below the minimum authorized instrument altitude."
12,July,1945,1436,"Near Florence, South Carolina",Boston - NY - Washington DC - Jacksonville - Miami,10,4,6,3,1,2,0,45,Douglas DC-3-201C /  Army A-26,NC25647,2235,"After deviating off course 8 miles to avoid military traffic, the two planes collided at 3,000 ft. The commercial pilot landed the plane in a corn field.  Two occupants of the A-26 (33-35553) were killed and one parachuted safely. One infant was killed on the DC-3.  Lack of vigilance on the part  of the pilots of both aircraft, resulting in the failure of each pilot to see the other aircraft in time to  avoid a collision."
03,August,1945,1011,"Fort de France, Martinique",Port of Spain - Fort de France,14,10,4,4,4,0,0,216,Sikorsky S-43 (flying boat),NC15066,4306,The aircraft crashed while landing at Fort de France. The plane sank and 4 passengers drowned. The attempt by the pilot to land the aircraft in conditions of water surface not suitable for landing of a flying boat.
07,September,1945,0213,"Florence, South Carolina",Miami - New York City,22,19,3,22,19,3,0,42,Douglas DC-3,NC33631,4137,"Fire was discovered on board the aircraft after having passed Florence. The fire originated in the general area of the right side of the rear cargo compartment and lavatory. The aircraft descended to a lower altitude while returning to Florence, struck two large  trees and crashed.  A fire of undetermined origin in the rear cargo compartment or lavatory which resulted in the inability of the pilot to maintain altitude long enough to effect an emergency landing."
05,October,1945,0105,"Lakeland, Florida",Miami - Jacksonville,15,12,3,2,2,0,0,16,Lockheed 18 Lodestar,NC18199,2265,Crashed into a lake while attempting to execute a missed approach. The faulty execution of a missed approach procedure resulting in settling of the aircraft into a water area beyond the landing runway.
30,December,1945,2113,"New York City, New York",Philadelphia - New York City,12,9,3,1,1,0,0,14,Douglas DC-3,NC18l23,1999,"The pilot, in the belief that he was encountering engine trouble, attempted a landing despite a landing approach which was too high and too fast. Initial contact with the runway was made at a point which provided insufficient room for a landing roll and at an airspeed considerable in excess of normal. The pilot was unable to bring the aircraft to a stop in time to avoid overshooting the runway. The decision of the pilot in attempting a landing from an approach which was too high and too fast."
06,January,1946,03:59,"Birmingham, Alabama","New York City - Birmingham, AL",11,7,4,3,0,3,0,105,Douglas DC-3,N21786,4131,"In worsening weather conditions, the plane landed fast and high while making an instrument approach to Birmingham, overran the runway, crashed through the barrier fence and into a creek. The action of the pilot in committing himself to a landing from an approach which was too high and too fast."
18,January,1946,11:03,"Cheshire, Connecticut",New York - Boston,17,14,3,17,14,3,0,16B,Douglas DC-3-201E,NC19970,3254,"The aircraft lost control and spiraled into the ground after the No. 1 engine caught on fire and the left wing separated from the aircraft. The fire, caused by the failure of a fuel line or fuel line connection, led to failure of the left wing."
31,January,1946,02:47,"Mt. Elk, Wyoming",Boise - Denver,21,18,3,21,18,3,0,14,Douglas DC-3-194H,NC25675,2147,"The aircraft crashed into Elk Mountain after the crew made an unauthorized deviation from the prescribed route at an altitude insufficient to assure adequate clearance over Elk Mountain. Flight had originally filed for 13,000 ft.  But later amended the flight plan to 11,000 ft. Elk Mountain is 11,152 ft. MSL."
03,March,1946,08:12,"Live Oak Springs, California",Dallas - Tucon - San Diego,27,24,3,27,24,3,0,6-103,Douglas DC-3-227B,NC21799,2203,"While on approach to San Diego, the aircraft flew into Tierra Blanca Mountain at an altitude of 4,500 feet in fog, exploded and burned. The crew descended into instrument conditions to an altitude below that required to maintain clearance over Thing Mountain. The reason for the descent was not determined."
21,August,1946,04:19,"Moline, Illinois",Teterboro - Chicago - San Francisco,25,22,3,2,0,2,0,878,Douglas C-47-DL,N51878,4542,"While the aircraft was flying near Moline, the No. 1 engine failed. The prop was feathered and a descent initiated for an emergency landing.The aircraft overshot the landing and a  go-around was executed. A left turn was made with the gear and flaps extended. The left wing touched the ground and the aircraft cartwheeled. The engine failure was caused by a No. 5 cylinder fracture."
05,September,1946,c 02:00,"Elko, Nevada",New York City - San Francisco,22,19,3,21,18,3,0,850,Douglas DC-3 (C-47-A5-DL),NC57850,9214,The aircraft lost contact with the ground in fog and crashed into a hillside while attempting to land at Elko Airport. A two-year-old boy was the only survivor. The pilot continued the approach after losing visual contact with the airport due to fog. Unfamiliarity of the pilot with the terrain. Insufficent fuel aboard to proceed to an alternate landing site.
08,October,1946,04:33,"Cheyenne, Wyoming",San Francisco - Cheyenne - Chicago,41,37,4,2,2,0,0,28,Douglas DC-4,N30051,10471,"After two landing attempts, the pilot tried to land on a different runway.  The wing struck the ground and the plane skidded 800 ft.  A loss of altitude during a turn preparatory to a final approach while the pilot was manoeuvring in an attempt to land. The aircraft was named ""Mainliner Lake Michigan."""
17,October,1946,00:57,"Laramie, Wyoming",Oakland - Chicago,13,10,3,13,10,3,0,942,Douglas DC-3,NC38942,12971,Crashed during a snowstorm into prairie lands while attempting to land at Laramie.  Weather conditions were deteriorating rapidly and worse than predicted. The action of the pilot in maneuvering the aircraft at a dangerously low altitude under extremely adverse weather conditions in an attempt to land.  A contributing factor was the negligence of the pilot in planning a flight into an area in which adverse weather conditions were forecast without making adequate provisions for a suitable alternate airport.
